taskId,lengthMI,pes,ramMB,priority
1,12000,2,2048,1
2,8000,1,1024,2
3,15000,4,4096,1
4,10000,2,2048,2
5,18000,4,4096,1
6,7000,1,1024,3
7,22000,4,4096,1
8,9000,2,2048,2
9,14000,2,2048,1
10,11000,2,2048,3
11,16000,4,4096,1
12,6000,1,1024,3
13,13000,2,2048,2
14,20000,4,4096,1
15,10000,2,2048,2
16,17000,4,4096,1
17,7500,1,1024,3
18,12500,2,2048,2
19,19000,4,4096,1
20,8500,1,1024,3
21,14500,2,2048,2
22,21000,4,4096,1
23,9500,2,2048,2
24,15500,4,4096,1
25,6500,1,1024,3
26,11500,2,2048,2
27,17500,4,4096,1
28,10500,2,2048,2
29,23000,4,4096,1
30,8000,1,1024,3
31,13500,2,2048,2
32,18500,4,4096,1
33,9000,2,2048,3
34,16000,4,4096,1
35,7000,1,1024,3
36,12500,2,2048,2
37,20500,4,4096,1
38,10000,2,2048,2
39,15000,4,4096,1
40,8500,1,1024,3
41,14000,2,2048,2
42,19500,4,4096,1
43,11000,2,2048,2
44,16500,4,4096,1
45,7500,1,1024,3
46,13000,2,2048,2
47,21500,4,4096,1
48,9500,2,2048,2
49,15500,4,4096,1
50,6000,1,1024,3
51,12000,2,2048,2
52,18000,4,4096,1
53,9000,2,2048,3
54,14500,2,2048,2
55,20000,4,4096,1
56,8000,1,1024,3
57,13500,2,2048,2
58,17000,4,4096,1
59,10500,2,2048,2
60,22500,4,4096,1
61,7000,1,1024,3
62,12500,2,2048,2
63,19000,4,4096,1
64,8500,1,1024,3
65,15000,2,2048,2
66,21000,4,4096,1
67,9500,2,2048,2
68,16000,4,4096,1
69,7500,1,1024,3
70,11500,2,2048,2
71,18500,4,4096,1
72,10000,2,2048,2
73,14000,2,2048,1
74,20500,4,4096,1
75,6500,1,1024,3
76,13000,2,2048,2
77,17500,4,4096,1
78,9000,2,2048,2
79,22000,4,4096,1
80,8000,1,1024,3
81,14500,2,2048,2
82,19500,4,4096,1
83,10500,2,2048,2
84,16500,4,4096,1
85,7000,1,1024,3
86,12500,2,2048,2
87,21500,4,4096,1
88,9500,2,2048,2
89,15500,4,4096,1
90,6000,1,1024,3
91,12000,2,2048,2
92,18000,4,4096,1
93,8500,1,1024,3
94,15000,2,2048,2
95,20000,4,4096,1
96,7500,1,1024,3
97,13500,2,2048,2
98,17000,4,4096,1
99,11000,2,2048,2
100,22500,4,4096,1
