cloudletId,vmId
0,7
1,7
2,6
3,7
4,4
5,5
6,6
7,7
8,4
9,8
10,3
11,6
12,5
13,8
14,6
15,8
16,5
17,8
18,7
19,6
20,8
21,5
22,5
23,7
24,8
25,5
26,5
27,3
28,3
29,2
30,3
31,4
32,7
33,6
34,1
35,6
36,4
37,2
38,8
39,8
40,5
41,7
42,6
43,5
44,8
45,4
46,3
47,7
48,5
49,3
50,8
51,4
52,4
53,8
54,6
55,7
56,8
57,7
58,1
59,6
60,6
61,8
62,6
63,5
64,5
65,8
66,4
67,8
68,1
69,7
70,7
71,8
72,3
73,7
74,3
75,4
76,7
77,4
78,6
79,7
80,5
81,5
82,8
83,5
84,7
85,6
86,7
87,3
88,8
89,6
90,7
91,4
92,7
93,8
94,7
95,8
96,7
97,5
98,8
99,5
