TaskID,Length_MI,PE_Required,VM_Terpilih_GA
0,5018,1,8
1,9111,2,3
2,4058,1,3
3,6873,2,8
4,19229,1,6
5,627,1,2
6,9231,4,3
7,1603,4,8
8,3088,1,1
9,2227,1,7
10,10024,2,8
11,2888,1,8
12,10771,1,3
13,617,1,4
14,5838,1,1
15,6993,1,7
16,3417,2,5
17,1753,2,6
18,2119,4,5
19,1665,2,1
20,4089,1,4
21,2125,4,8
22,1353,2,1
23,7375,1,3
24,2837,1,4
25,1936,1,5
26,9094,4,7
27,1915,1,8
28,5424,1,5
29,2368,2,7
30,28175,2,8
31,1348,2,2
32,4485,1,8
33,6275,1,7
34,6074,2,1
35,2654,1,5
36,2358,1,6
37,1365,2,2
38,5608,1,5
39,4700,2,5
40,2370,2,6
41,1468,1,4
42,3204,1,8
43,1690,2,6
44,2540,1,4
45,13914,1,7
46,1477,1,5
47,8466,1,6
48,1349,4,7
49,6547,1,2
50,5210,1,1
51,2579,2,6
52,1214,4,6
53,500,2,1
54,5904,2,6
55,4662,1,4
56,6238,2,7
57,6086,1,4
58,6173,1,8
59,2202,1,2
60,2316,2,7
61,9038,4,6
62,7200,4,6
63,1034,1,8
64,2038,4,6
65,1973,1,2
66,3418,1,5
67,1577,4,8
68,6158,2,5
69,3593,1,1
70,1331,4,3
71,10928,2,2
72,9521,1,7
73,1722,1,8
74,8443,4,4
75,7741,4,4
76,500,2,6
77,1143,2,7
78,1554,2,6
79,10099,1,7
80,2680,2,6
81,8818,2,3
82,8617,1,5
83,4972,4,3
84,1767,4,5
85,607,4,5
86,2446,2,1
87,4464,4,4
88,6398,2,5
89,2259,2,7
90,2461,4,5
91,2646,4,5
92,1071,4,8
93,2222,1,7
94,8451,2,5
95,6092,2,6
96,1275,1,4
97,6416,2,4
98,18846,2,8
99,2868,4,3

Algoritma,Makespan(s),Energy(J),AvgUtil(%),Throughput(task/s)
Genetic Algorithm,24.41,18481.65,93.3,4.097
Round Robin,42.41,28311.76,60.4,2.358
Random,34.21,23599.30,67.5,2.923
